;Wavenumber;10.12.D;10.12.G;10.13.G;12.1.D;12.1.G;12.4.D;12.4.G;12.5.D;12.5.G
181;3819,0;99,711508;97,030978;99,716914;99,773319;97,069409;102,061639;97,423635;99,956412;98,873657
182;3818,0;99,729823;97,008385;99,68743;99,842521;97,070937;102,129751;97,43742;99,981114;98,923607
183;3817,0;99,750371;97,029423;99,679191;99,917513;97,081765;102,159007;97,449922;100,003675;98,974241
184;3816,0;99,755597;97,044684;99,690302;99,948236;97,069297;102,135869;97,419198;100,005686;98,973862
185;3815,0;99,763936;97,000416;99,701517;99,944887;97,025491;102,118971;97,369172;100,006855;98,928104
186;3814,0;99,803488;96,91608;99,698393;99,952653;96,984202;102,158052;97,353017;100,03039;98,884054
187;3813,0;99,855853;96,86393;99,687657;99,97561;96,983194;102,209072;97,37253;100,052271;98,866028
188;3812,0;99,87719;96,868021;99,686416;99,982248;97,013424;102,214843;97,380273;100,034735;98,862987
189;3811,0;99,863202;96,890212;99,703309;99,964641;97,035445;102,195885;97,349617;99,991293;98,860888
190;3810,0;99,847769;96,897985;99,731911;99,9427;97,029552;102,200339;97,310454;99,9666;98,862101
191;3809,0;99,853441;96,900129;99,760814;99,928425;97,011188;102,227232;97,31028;99,97347;98,874414
192;3808,0;99,855647;96,923228;99,78422;99,901671;97,008062;102,218879;97,347893;99,970917;98,891464
193;3807,0;99,811336;96,962838;99,799695;99,835431;97,024788;102,138286;97,37166;99,916149;98,898734
194;3806,0;99,732468;96,98409;99,802561;99,751536;97,041447;102,043679;97,357754;99,836345;98,899741
195;3805,0;99,682269;96,987168;99,791953;99,709195;97,0536;102,019503;97,348274;99,802594;98,915486
196;3804,0;99,692518;97,012563;99,779675;99,735845;97,073629;102,067867;97,381829;99,838568;98,951532
197;3803,0;99,740846;97,069853;99,78411;99,811859;97,094413;102,133192;97,430417;99,90578;98,983202
198;3802,0;99,779492;97,119246;99,806857;99,888931;97,094884;102,157269;97,423752;99,949883;98,975837
199;3801,0;99,778482;97,100202;99,821599;99,924733;97,056311;102,132943;97,337405;99,949889;98,926181
200;3800,0;99,776989;96,998436;99,801691;99,938162;96,983393;102,135676;97,235134;99,948273;98,868319
201;3799,0;99,812651;96,891035;99,749479;99,958592;96,917235;102,182999;97,188544;99,97131;98,825866
202;3798,0;99,855364;96,848625;99,691764;99,967494;96,884452;102,20501;97,20016;99,978733;98,789892
203;3797,0;99,870325;96,862038;99,654268;99,94318;96,873924;102,174893;97,224326;99,944207;98,746279
204;3796,0;99,865913;96,883877;99,640317;99,895216;96,867209;102,129982;97,229913;99,896674;98,704067
205;3795,0;99,876339;96,886195;99,638115;99,854065;96,860822;102,118152;97,227195;99,881354;98,687042
206;3794,0;99,917696;96,878122;99,64172;99,842449;96,860235;102,148457;97,235008;99,909726;98,703137
207;3793,0;99,970082;96,875816;99,654708;99,858782;96,861757;102,192621;97,248092;99,952382;98,734335
208;3792,0;100,000527;96,875134;99,680267;99,886011;96,851256;102,223132;97,247113;99,975381;98,756271
209;3791,0;99,991711;96,864819;99,714274;99,905441;96,826573;102,230021;97,228334;99,967624;98,761719
210;3790,0;99,948904;96,847935;99,750244;99,902758;96,806579;102,209766;97,206907;99,935444;98,762105
211;3789,0;99,893632;96,834279;99,785845;99,87758;96,81058;102,168406;97,198139;99,892455;98,771506
212;3788,0;99,850949;96,82608;99,819961;99,848291;96,838154;102,125929;97,205711;99,857111;98,79327
213;3787,0;99,836135;96,819683;99,847194;99,840773;96,872854;102,102355;97,225291;99,846733;98,818608
214;3786,0;99,846237;96,813724;99,859311;99,866626;96,898308;102,098172;97,247427;99,864194;98,833012
215;3785,0;99,868215;96,807253;99,85198;99,915256;96,907669;102,101552;97,260604;99,895711;98,827433
216;3784,0;99,896978;96,797513;99,828466;99,968449;96,905012;102,112774;97,261415;99,929216;98,808718
217;3783,0;99,937406;96,788883;99,797278;100,016102;96,903822;102,145716;97,261855;99,967378;98,798804
